county_name,article,tax_allocation_point_of_sale,gs_105_524_adjustments,tax_allocation_other_1,article_42_adjustment_2,cost_of_collection_3,per_capita_adjustments,gs_105_486_b_adjustment_4,distributable_proceeds,month,year,date,fiscal_year
Alamance,39,2117205.83,-63463.11,0,0,-6859.5,0,0,2046883.22,july,2016,2016-07-01,2017
Alamance,39-Food,0,0,224593.42,0,-750.14,0,0,223843.28,july,2016,2016-07-01,2017
Alamance,40,1058602.93,-31731.56,0,0,-3429.75,-131617.69,20778.07,912602,july,2016,2016-07-01,2017
Alamance,40-Food,0,0,100021.58,0,-334.07,0,2322.56,102010.07,july,2016,2016-07-01,2017
Alamance,42,1058602.93,-31731.56,0,-10988.68,-3393.05,0,0,1012489.64,july,2016,2016-07-01,2017
Alamance,42-Food,0,0,100021.58,0,-334.07,0,2322.56,102010.07,july,2016,2016-07-01,2017
Alamance,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Alamance,44,91.31,0,0,0,-0.3,0,0,91.01,july,2016,2016-07-01,2017
Alamance,44 *524(c.),0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Alamance,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Alamance,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Alamance,Total,4234503,-126926.23,424636.58,-10988.68,-15100.88,-131617.69,25423.19,4399929.29,july,2016,2016-07-01,2017
Alexander,39,166128.94,-4979.7,0,0,-538.24,0,0,160611,july,2016,2016-07-01,2017
Alexander,39-Food,0,0,39672.78,0,-132.51,0,0,39540.27,july,2016,2016-07-01,2017
Alexander,40,83064.43,-2489.85,0,0,-269.12,136266.2,700.33,217271.99,july,2016,2016-07-01,2017
Alexander,40-Food,0,0,24289.37,0,-81.13,0,78.28,24286.52,july,2016,2016-07-01,2017
Alexander,42,83064.43,-2489.85,0,-862.24,-266.24,0,0,79446.1,july,2016,2016-07-01,2017
Alexander,42-Food,0,0,24289.37,0,-81.13,0,78.28,24286.52,july,2016,2016-07-01,2017
Alexander,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Alexander,44,1.33,0,0,0,0,0,0,1.33,july,2016,2016-07-01,2017
Alexander,44 *524(c.),0,119402.79,0,0,-398.81,0,0,119003.98,july,2016,2016-07-01,2017
Alexander,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Alexander,46,41498.79,0,0,0,-138.61,0,0,41360.18,july,2016,2016-07-01,2017
Alexander,Total,373757.92,109443.39,88251.52,-862.24,-1905.79,136266.2,856.89,705807.89,july,2016,2016-07-01,2017
Alleghany,39,73215.22,-2194.62,0,0,-237.21,0,0,70783.39,july,2016,2016-07-01,2017
Alleghany,39-Food,0,0,16290.89,0,-54.41,0,0,16236.48,july,2016,2016-07-01,2017
Alleghany,40,36607.61,-1097.31,0,0,-118.6,28145.22,2755.16,66292.08,july,2016,2016-07-01,2017
