county,gross_collections,foreign_collections,refunds,net_collections,month,year,date,fiscal_year
Alamance,4238267.278469857,0,190503.038469857,4047764.24,april,2015,2015-04-01,2015
Alexander,419392.783231509,0,12179.013231509,407213.77,april,2015,2015-04-01,2015
Alleghany,137865.508625516,0,1242.528625516,136622.98,april,2015,2015-04-01,2015
Anson,296546.634306111,0,2516.544306111,294030.09,april,2015,2015-04-01,2015
Ashe,403095.264544965,0,42008.234544965,361087.03,april,2015,2015-04-01,2015
Avery,366271.886241476,0,84330.006241476,281941.88,april,2015,2015-04-01,2015
Beaufort,1019750.709761869,0,23127.809761869,996622.9,april,2015,2015-04-01,2015
Bertie,203168.997113478,0,3957.337113478,199211.66,april,2015,2015-04-01,2015
Bladen,477472.374028374,0,6143.534028374,471328.84,april,2015,2015-04-01,2015
Brunswick,2661085.751930979,0,79569.09193097899,2581516.66,april,2015,2015-04-01,2015
Buncombe,9002186.906445062,0,2585435.0964450617,6416751.81,april,2015,2015-04-01,2015
Burke,1483806.67743221,0,187704.72743221,1296101.95,april,2015,2015-04-01,2015
Cabarrus,6348175.595749256,0,681332.425749256,5666843.17,april,2015,2015-04-01,2015
Caldwell,1411400.608482612,0,31211.288482612,1380189.32,april,2015,2015-04-01,2015
Camden,103385.126806134,0,1334.806806134,102050.32,april,2015,2015-04-01,2015
Carteret,1864929.1171708785,0,457083.247170878,1407845.87,april,2015,2015-04-01,2015
Caswell,168750.090663329,0,4125.050663329,164625.04,april,2015,2015-04-01,2015
Catawba,4460741.05724598,0,513748.55724598,3946992.5,april,2015,2015-04-01,2015
Chatham,1111318.442673739,0,431921.65267373895,679396.79,april,2015,2015-04-01,2015
Cherokee,553153.873240693,0,25782.393240693,527371.48,april,2015,2015-04-01,2015
Chowan,245568.153290815,0,63010.393290815,182557.76,april,2015,2015-04-01,2015
Clay,142962.361116022,0,31260.941116022,111701.42,april,2015,2015-04-01,2015
Cleveland,1823699.738297565,0,395916.72829756496,1427783.01,april,2015,2015-04-01,2015
Columbus,747950.10332731,0,132991.60332731,614958.5,april,2015,2015-04-01,2015
Craven,2107080.327562543,0,591248.977562543,1515831.35,april,2015,2015-04-01,2015
Cumberland,8416304.021563295,0,1571554.0215632948,6844750,april,2015,2015-04-01,2015
Currituck,436452.826316854,0,11559.276316854,424893.55,april,2015,2015-04-01,2015
Dare,1546943.935202703,0,178964.655202703,1367979.28,april,2015,2015-04-01,2015
Davidson,2756255.7182686813,0,305395.038268681,2450860.68,april,2015,2015-04-01,2015
Davie,659094.022213584,0,123177.772213584,535916.25,april,2015,2015-04-01,2015
Duplin,817925.384611974,0,22198.544611974,795726.8399999999,april,2015,2015-04-01,2015
Durham,14134142.373584151,0,1106911.853584151,13027230.52,april,2015,2015-04-01,2015
Edgecombe,781836.1547109779,0,14281.514710978,767554.64,april,2015,2015-04-01,2015
Forsyth,9791384.253691373,0,904795.633691375,8886588.62,april,2015,2015-04-01,2015
Franklin,750418.2148321271,0,22066.744832127,728351.4699999999,april,2015,2015-04-01,2015
