county,gross_collections,taxable_sales,month,year,date,fiscal_year
Alamance,3518571.85,156162831,july,2000,2000-07-01,2001
Alexander,337980.7,17849033,july,2000,2000-07-01,2001
Alleghany,195250.21,7646441,july,2000,2000-07-01,2001
Anson,249425.03,12821141,july,2000,2000-07-01,2001
Ashe,384038.73,15929205,july,2000,2000-07-01,2001
Avery,489085.26,18554835,july,2000,2000-07-01,2001
Beaufort,1059828.37,44263279,july,2000,2000-07-01,2001
Bertie,97420.74,8008845,july,2000,2000-07-01,2001
Bladen,482314.09,24184519,july,2000,2000-07-01,2001
Brunswick,2682378.5,93918917,july,2000,2000-07-01,2001
Buncombe,7956560.91,309160022,july,2000,2000-07-01,2001
Burke,1399283.95,68987056,july,2000,2000-07-01,2001
Cabarrus,3987517.71,164762259,july,2000,2000-07-01,2001
Caldwell,1281271.18,66607037,july,2000,2000-07-01,2001
Camden,61154.16,2425173,july,2000,2000-07-01,2001
Carteret,2726508.66,94557532,july,2000,2000-07-01,2001
Caswell,107715.21,5504908,july,2000,2000-07-01,2001
Catawba,5016595.15,218165556,july,2000,2000-07-01,2001
Chatham,644552.67,33287157,july,2000,2000-07-01,2001
Cherokee,627716.39,31504858,july,2000,2000-07-01,2001
Chowan,219185.05,10672725,july,2000,2000-07-01,2001
Clay,133886.5,7969066,july,2000,2000-07-01,2001
Cleveland,1848891.67,89607259,july,2000,2000-07-01,2001
Columbus,929743.97,41987961,july,2000,2000-07-01,2001
Craven,1949567.58,86785056,july,2000,2000-07-01,2001
Cumberland,6777851.26,266368879,july,2000,2000-07-01,2001
Currituck,772693.79,31309833,july,2000,2000-07-01,2001
Dare,4566779.75,142657545,july,2000,2000-07-01,2001
Davidson,2571458.92,124624517,july,2000,2000-07-01,2001
Davie,596681,30742677,july,2000,2000-07-01,2001
Duplin,640772.11,30953101,july,2000,2000-07-01,2001
Durham,10396441.84,315356977,july,2000,2000-07-01,2001
Edgecombe,952153.5,41969481,july,2000,2000-07-01,2001
Forsyth,10987878.31,498428423,july,2000,2000-07-01,2001
Franklin,753033.72,29047577,july,2000,2000-07-01,2001
Gaston,3978199.67,203058328,july,2000,2000-07-01,2001
Gates,43608.9,3706463,july,2000,2000-07-01,2001
Graham,92563.34,4120001,july,2000,2000-07-01,2001
Granville,583371.1,31271967,july,2000,2000-07-01,2001
Greene,119745.58,5812079,july,2000,2000-07-01,2001
Guilford,18272912.67,861507925,july,2000,2000-07-01,2001
Halifax,945841.14,40887418,july,2000,2000-07-01,2001
Harnett,1207209.94,51575066,july,2000,2000-07-01,2001
Haywood,1506299.07,70392548,july,2000,2000-07-01,2001
Henderson,2268804.72,91339063,july,2000,2000-07-01,2001
Hertford,526120.84,26446290,july,2000,2000-07-01,2001
Hoke,154130.39,7145943,july,2000,2000-07-01,2001
Hyde,182301.91,5642730,july,2000,2000-07-01,2001
Iredell,3488174.65,164385894,july,2000,2000-07-01,2001
Jackson,851974.27,30874190,july,2000,2000-07-01,2001
Johnston,2490195.15,116391148,july,2000,2000-07-01,2001
Jones,57373.21,2538048,july,2000,2000-07-01,2001
Lee,1488247.65,61831086,july,2000,2000-07-01,2001
Lenoir,1512085.57,72717170,july,2000,2000-07-01,2001
Lincoln,1221698.08,51202979,july,2000,2000-07-01,2001
Macon,1215660.29,42764469,july,2000,2000-07-01,2001
Madison,125653.3,7690152,july,2000,2000-07-01,2001
Martin,558265.82,17448635,july,2000,2000-07-01,2001
McDowell,615013.2,41515148,july,2000,2000-07-01,2001
Mecklenburg,36398443.18,1506322627,july,2000,2000-07-01,2001
Mitchell,356683.48,15176138,july,2000,2000-07-01,2001
