county,categories,gross_collections,taxable_sales_and_purchases,year
Alamance,Alamance,41204230,1712541862,2001
Alamance,1% Retail Sales,349500,34829870,2001
Alamance,2% And 3% Retail Sales,210570,8794652,2001
Alamance,Apparel,2836968,71623293,2001
Alamance,Automotive,2827086,256168130,2001
Alamance,Food,7804840,331443561,2001
Alamance,Furniture,1508628,42657992,2001
Alamance,General Merchandise,9918111,393199615,2001
Alamance,Lumber And Building Material,7001676,205366619,2001
Alamance,Unclassified,6329197,368458130,2001
Alamance,"Use Tax - 1%, 3%, And 4%",2417654,,2001
Alexander,Alexander,3724722,201235993,2001
Alexander,1% Retail Sales,28078,2802587,2001
Alexander,2% And 3% Retail Sales,15466,713017,2001
Alexander,Apparel,67394,1713815,2001
Alexander,Automotive,417120,50084023,2001
Alexander,Food,956557,46817212,2001
Alexander,Furniture,121059,9435309,2001
Alexander,General Merchandise,1010913,59538836,2001
Alexander,Lumber And Building Material,584103,17577223,2001
Alexander,Unclassified,390380,12553971,2001
Alexander,"Use Tax - 1%, 3%, And 4%",133652,,2001
Alleghany,Alleghany,1762313,70338536,2001
Alleghany,1% Retail Sales,3599,359892,2001
Alleghany,2% And 3% Retail Sales,14648,673483,2001
Alleghany,Apparel,29162,1087506,2001
Alleghany,Automotive,170747,7623202,2001
Alleghany,Food,443815,22223068,2001
Alleghany,Furniture,33217,921490,2001
Alleghany,General Merchandise,390025,19614680,2001
Alleghany,Lumber And Building Material,465423,12498421,2001
Alleghany,Unclassified,158784,5336794,2001
Alleghany,"Use Tax - 1%, 3%, And 4%",52895,,2001
Anson,Anson,3097028,150374349,2001
Anson,1% Retail Sales,79747,7952800,2001
Anson,2% And 3% Retail Sales,12412,575604,2001
Anson,Apparel,62662,1566238,2001
Anson,Automotive,503566,33874360,2001
Anson,Food,825929,42564129,2001
Anson,Furniture,117687,3171219,2001
Anson,General Merchandise,985330,40205933,2001
Anson,Lumber And Building Material,90615,9126896,2001
Anson,Unclassified,312498,11337170,2001
Anson,"Use Tax - 1%, 3%, And 4%",106583,,2001
Ashe,Ashe,3915315,184809584,2001
Ashe,1% Retail Sales,26597,2658171,2001
Ashe,2% And 3% Retail Sales,39132,1814714,2001
Ashe,Apparel,85018,2116255,2001
Ashe,Automotive,456207,30148651,2001
Ashe,Food,924874,55789425,2001
