county,municipality,article_39,article_40,article_42,article_43,article_44,art_44_524,article_45,article_46,city_hh,category,type,month,year,date,fiscal_year
Alamance,Alamance,1400840.31,625927.21,687549.19,0,56.14,0,0,0,-338522.67,Per Capita,County,july,2016,2016-07-01,2017
Alamance,Alamance,9225.7,4122.26,4528.09,0,0.37,0,0,0,3590.25,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Burlington,460565.52,205791.12,226051.07,0,18.46,0,0,0,179232.5,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Elon,91591.58,40925.19,44954.24,0,3.67,0,0,0,35643.54,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Gibsonville,30149.87,13471.64,14797.91,0,1.21,0,0,0,11733.05,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Graham,128638.24,57478.48,63137.18,0,5.16,0,0,0,50060.53,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Green Level,18847.04,8421.28,9250.35,0,0.76,0,0,0,7334.46,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Haw River,21014.09,9389.57,10313.97,0,0.84,0,0,0,8177.79,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Mebane,93470.89,41764.91,45876.62,0,3.75,0,0,0,36374.88,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Ossipee,5053.45,2258,2480.29,0,0.2,0,0,0,1966.59,Per Capita,Municipality,july,2016,2016-07-01,2017
Alamance,Swepsonville,11329.81,5062.41,5560.8,0,0.45,0,0,0,4409.08,Per Capita,Municipality,july,2016,2016-07-01,2017
Alexander,Alexander,189502.05,228706.18,98213.43,0,1.26,112672.27,0,41360.18,-15673.68,Per Capita,County,july,2016,2016-07-01,2017
Alexander,Taylorsville,10649.22,12852.33,5519.19,0,0.07,6331.71,0,0,15673.68,Per Capita,Municipality,july,2016,2016-07-01,2017
Alleghany,Alleghany,75092.02,63599.78,36608.1,0,-16.88,18837.01,0,0,-11550.68,Per Capita,County,july,2016,2016-07-01,2017
Alleghany,Sparta,11927.85,10102.38,5814.94,0,-2.68,2992.13,0,0,11550.68,Per Capita,Municipality,july,2016,2016-07-01,2017
Anson,Anson,112209.63,118216.23,58374.54,0,0,47286.69,0,34475.68,-60227.6,Per Capita,County,july,2016,2016-07-01,2017
Anson,Ansonville,2611.5,2751.29,1358.58,0,0,1100.52,0,0,3263,Per Capita,Municipality,july,2016,2016-07-01,2017
